,repo,week,commits,total commits
401,seaborn,38,0.0,390.0
402,seaborn,39,7.0,390.0
403,seaborn,40,11.0,390.0
404,seaborn,41,12.0,390.0
405,seaborn,42,18.0,390.0
406,seaborn,43,3.0,390.0
407,seaborn,44,25.0,390.0
408,seaborn,45,58.0,390.0
409,seaborn,46,41.0,390.0
410,seaborn,47,29.0,390.0
411,seaborn,48,14.0,390.0
412,seaborn,49,0.0,390.0
413,seaborn,50,1.0,390.0
414,seaborn,51,0.0,390.0
415,seaborn,52,0.0,390.0
416,ggpy,1,0.0,0.0
417,ggpy,2,0.0,0.0
418,ggpy,3,0.0,0.0
419,ggpy,4,0.0,0.0
420,ggpy,5,0.0,0.0
421,ggpy,6,0.0,0.0
422,ggpy,7,0.0,0.0
423,ggpy,8,0.0,0.0
424,ggpy,9,0.0,0.0
425,ggpy,10,0.0,0.0
426,ggpy,11,0.0,0.0
427,ggpy,12,0.0,0.0
428,ggpy,13,0.0,0.0
429,ggpy,14,0.0,0.0
430,ggpy,15,0.0,0.0
431,ggpy,16,0.0,0.0
432,ggpy,17,0.0,0.0
433,ggpy,18,0.0,0.0
434,ggpy,19,0.0,0.0
435,ggpy,20,0.0,0.0
436,ggpy,21,0.0,0.0
437,ggpy,22,0.0,0.0
438,ggpy,23,0.0,0.0
439,ggpy,24,0.0,0.0
440,ggpy,25,0.0,0.0
441,ggpy,26,0.0,0.0
442,ggpy,27,0.0,0.0
443,ggpy,28,0.0,0.0
444,ggpy,29,0.0,0.0
445,ggpy,30,0.0,0.0
446,ggpy,31,0.0,0.0
447,ggpy,32,0.0,0.0
448,ggpy,33,0.0,0.0
449,ggpy,34,0.0,0.0
450,ggpy,35,0.0,0.0
451,ggpy,36,0.0,0.0
452,ggpy,37,0.0,0.0
453,ggpy,38,0.0,0.0
454,ggpy,39,0.0,0.0
455,ggpy,40,0.0,0.0
456,ggpy,41,0.0,0.0
457,ggpy,42,0.0,0.0
458,ggpy,43,0.0,0.0
459,ggpy,44,0.0,0.0
460,ggpy,45,0.0,0.0
461,ggpy,46,0.0,0.0
462,ggpy,47,0.0,0.0
463,ggpy,48,0.0,0.0
464,ggpy,49,0.0,0.0
465,ggpy,50,0.0,0.0
466,ggpy,51,0.0,0.0
467,ggpy,52,0.0,0.0
468,vincent,1,0.0,0.0
469,vincent,2,0.0,0.0
470,vincent,3,0.0,0.0
471,vincent,4,0.0,0.0
472,vincent,5,0.0,0.0
473,vincent,6,0.0,0.0
474,vincent,7,0.0,0.0
475,vincent,8,0.0,0.0
476,vincent,9,0.0,0.0
477,vincent,10,0.0,0.0
478,vincent,11,0.0,0.0
479,vincent,12,0.0,0.0
480,vincent,13,0.0,0.0
481,vincent,14,0.0,0.0
482,vincent,15,0.0,0.0
483,vincent,16,0.0,0.0
484,vincent,17,0.0,0.0
485,vincent,18,0.0,0.0
486,vincent,19,0.0,0.0
487,vincent,20,0.0,0.0
488,vincent,21,0.0,0.0
489,vincent,22,0.0,0.0
490,vincent,23,0.0,0.0
491,vincent,24,0.0,0.0
492,vincent,25,0.0,0.0
493,vincent,26,0.0,0.0
494,vincent,27,0.0,0.0
495,vincent,28,0.0,0.0
496,vincent,29,0.0,0.0
497,vincent,30,0.0,0.0
498,vincent,31,0.0,0.0
499,vincent,32,0.0,0.0
500,vincent,33,0.0,0.0
501,vincent,34,0.0,0.0
502,vincent,35,0.0,0.0
503,vincent,36,0.0,0.0
504,vincent,37,0.0,0.0
505,vincent,38,0.0,0.0
506,vincent,39,0.0,0.0
507,vincent,40,0.0,0.0
508,vincent,41,0.0,0.0
509,vincent,42,0.0,0.0
510,vincent,43,0.0,0.0
511,vincent,44,0.0,0.0
512,vincent,45,0.0,0.0
513,vincent,46,0.0,0.0
514,vincent,47,0.0,0.0
515,vincent,48,0.0,0.0
516,vincent,49,0.0,0.0
517,vincent,50,0.0,0.0
518,vincent,51,0.0,0.0
519,vincent,52,0.0,0.0
520,altair,1,5.0,1136.0
521,altair,2,0.0,1136.0
522,altair,3,0.0,1136.0
523,altair,4,0.0,1136.0
524,altair,5,0.0,1136.0
525,altair,6,0.0,1136.0
526,altair,7,12.0,1136.0
527,altair,8,3.0,1136.0
528,altair,9,27.0,1136.0
529,altair,10,32.0,1136.0
530,altair,11,0.0,1136.0
531,altair,12,1.0,1136.0
532,altair,13,0.0,1136.0
533,altair,14,0.0,1136.0
534,altair,15,0.0,1136.0
535,altair,16,0.0,1136.0
536,altair,17,0.0,1136.0
537,altair,18,0.0,1136.0
538,altair,19,0.0,1136.0
539,altair,20,0.0,1136.0
540,altair,21,0.0,1136.0
541,altair,22,0.0,1136.0
542,altair,23,0.0,1136.0
543,altair,24,0.0,1136.0
544,altair,25,0.0,1136.0
545,altair,26,26.0,1136.0
546,altair,27,31.0,1136.0
547,altair,28,174.0,1136.0
548,altair,29,80.0,1136.0
549,altair,30,71.0,1136.0
550,altair,31,90.0,1136.0
551,altair,32,92.0,1136.0
552,altair,33,62.0,1136.0
553,altair,34,71.0,1136.0
554,altair,35,32.0,1136.0
555,altair,36,19.0,1136.0
556,altair,37,48.0,1136.0
557,altair,38,32.0,1136.0
558,altair,39,15.0,1136.0
559,altair,40,41.0,1136.0
560,altair,41,22.0,1136.0
561,altair,42,3.0,1136.0
562,altair,43,21.0,1136.0
563,altair,44,2.0,1136.0
564,altair,45,13.0,1136.0
565,altair,46,11.0,1136.0
566,altair,47,8.0,1136.0
567,altair,48,12.0,1136.0
568,altair,49,14.0,1136.0
569,altair,50,22.0,1136.0
570,altair,51,8.0,1136.0
571,altair,52,36.0,1136.0
572,chaco,1,0.0,51.0
573,chaco,2,0.0,51.0
574,chaco,3,0.0,51.0
575,chaco,4,0.0,51.0
576,chaco,5,0.0,51.0
577,chaco,6,0.0,51.0
578,chaco,7,0.0,51.0
579,chaco,8,5.0,51.0
580,chaco,9,0.0,51.0
581,chaco,10,0.0,51.0
582,chaco,11,5.0,51.0
583,chaco,12,2.0,51.0
584,chaco,13,3.0,51.0
585,chaco,14,0.0,51.0
586,chaco,15,0.0,51.0
587,chaco,16,0.0,51.0
588,chaco,17,0.0,51.0
589,chaco,18,2.0,51.0
590,chaco,19,0.0,51.0
591,chaco,20,3.0,51.0
592,chaco,21,0.0,51.0
593,chaco,22,0.0,51.0
594,chaco,23,2.0,51.0
595,chaco,24,3.0,51.0
596,chaco,25,0.0,51.0
597,chaco,26,0.0,51.0
598,chaco,27,0.0,51.0
599,chaco,28,0.0,51.0
600,chaco,29,0.0,51.0
601,chaco,30,3.0,51.0
602,chaco,31,0.0,51.0
603,chaco,32,0.0,51.0
604,chaco,33,10.0,51.0
605,chaco,34,0.0,51.0
606,chaco,35,0.0,51.0
607,chaco,36,0.0,51.0
608,chaco,37,0.0,51.0
609,chaco,38,0.0,51.0
610,chaco,39,0.0,51.0
611,chaco,40,0.0,51.0
612,chaco,41,0.0,51.0
